"id","product","functional_area","entry","exit","user_role","test_level","script_name","file_name","test_description","login","password","powerup_number","svs","pin","cc_type","cc_number","cc_month","cc_year","cvv","shipping_option","ship_first_name","ship_last_name","ship_addr1","ship_addr2","ship_city","ship_state","ship_zip","ship_country","ship_email","ship_phone","load_ship_addr_from_profile","bill_first_name","bill_last_name","bill_addr1","bill_addr2","bill_city","bill_state","bill_zip","bill_country","bill_email","bill_phone","load_bill_addr_from_profile","hops_zip","hops_phone","submit_order_flag","use_paypal_at_cart","use_paypal_at_payment","power_up_rewards_number","promo_code_number","add_free_gift","gift_msg","add_digital_wallet","pay_from_digital_wallet","billing_address_same_as_shipping","sign_up_weekly_ads","renewal_type","renew_pur","GC_TYPE","GC_AMNT","GC_QTY","do_linkshare","do_ef","do_ci","do_optimizely","do_adroll","do_google_analytics","do_merge_cart","do_ispu","do_upsell","do_change_payment","is_under_age","validate_certona_cart","validate_cart_badge","subscribe","unsubscribe","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL"
"TFS48627","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_spec.rb ","Should checkout authenticated user load address from profile and pay with credit card","qa_ui_testing1@4test.com","T3sting",3876234510014,,,"American Express",343434343434343,"09",2014,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False","this is a gift message","False","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","Get_Available_Not_Mature_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48592","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_spec.rb","Should checkout authenticated user load address from profile and pay with credit card and save card","qa_ui_testing1@qagsecomprod.oib.com","T3sting",3876234510014,,,"American Express",343434343434343,"09",2014,4512,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"TRUE","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_Available_Not_Mature_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48554","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_spec.rb","Should checkout authenticated user load address from profile and pay with digital wallet","qa_ui_testing2@qagsecomprod.oib.com","T3sting",3876234510014,,,"American Express",343434343434343,"09",2019,4512,"One Day","Accept","Tester2","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"False","TRUE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_Available_Not_Mature_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48593","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_spec.rb","Should checkout authenticated user mature product update shipping and billing","qa_ui_testing3@qagsecomprod.oib.com","T3sting",3876234510014,,,"Visa","4111111111111111","09",2014,121,"Two Day","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"False","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_Available_Mature_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48576","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_spec.rb","Should checkout authenticated user update shipping and billing","qa_ui_testing4@qagsecomprod.oib.com","T3sting",3876234510014,,,"Visa","4111111111111111","09",2014,121,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"False","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_Available_Not_Mature_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48594","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_spec.rb","Should checkout authenticated load shipping change billing","qa_ui_testing5@qagsecomprod.oib.com","T3sting",3876234510014,,,"Visa","4111111111111111","09",2014,121,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"False","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_Available_Not_Mature_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48595","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_spec.rb","Should checkout authenticated load billing change shipping","qa_ui_testing6@qagsecomprod.oib.com","T3sting",3876234510014,,,"Visa","4111111111111111","09",2014,121,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"False","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_Available_Not_Mature_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48596","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_DLC_spec.rb ","Should checkout DLC authenticated user load address from profile and pay with credit card","qa_ui_testing7@qagsecomprod.oib.com","T3sting",3876234510014,,,"American Express",343434343434343,"09",2014,4512,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",9728916078,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"False","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_DLC_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48597","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_DLC_spec.rb","Should checkout DLC authenticated user override address","qa_ui_testing8@qagsecomprod.oib.com","T3sting",3876234510014,,,"American Express",343434343434343,"09",2014,4512,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"False","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_DLC_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48598","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_DLC_spec.rb","Should checkout mature and not mature DLC authenticated user load address from profile and pay with credit card","qa_ui_testing9@qagsecomprod.oib.com","T3sting",3876234510014,,,"American Express",343434343434343,"09",2014,4512,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"False","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_DLC_Mature_And_Not_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48599","Checkout","Checkout",,,"AU","Order Entry","authenticated_user_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\authenticated_user_checkout_DLC_spec.rb","Should checkout mature DLC authenticated user load address from profile and pay with credit card","qa_ui_testing10@qagsecomprod.oib.com","T3sting",3876234510014,,,"American Express",343434343434343,"09",2014,4512,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"False","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_DLC_Mature_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48600","Checkout","Checkout",,,"GU","Order Entry","guest_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\guest_checkout_spec.rb","Should checkout available products as guest",,,3876234510014,,,"Visa","4111111111111111","09",2014,121,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"True","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","Get_Available_Not_Mature_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48601","Checkout","Checkout",,,"GU","Order Entry","guest_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\guest_checkout_spec.rb","Should checkout mature products as guest",,,3876234510014,,,"Visa","4111111111111111","09",2014,121,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"True","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_Available_Mature_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48602","Checkout","Checkout",,,"GU","Order Entry","guest_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\guest_checkout_spec.rb","Should checkout mature and not products as guest",,,3876234510014,,,"Visa","4111111111111111","09",2014,121,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"True","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_Available_Mature_And_Not_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48603","Checkout","Checkout",,,"GU","Order Entry","guest_checkout_spec.rb","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\guest_checkout_DLC_spec.rb","Should checkout guest digital product",,,3876234510014,,,"Visa","4111111111111111","09",2014,121,"Standard","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE","Accept","Tester","625 Westport Pkwy",,"Grapevine","Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"FALSE",75220,"(972) 891-6078","true","FALSE","FALSE","NULL","NULL","False",,"True","FALSE","False","False",,"FALSE","NILL","NILL","NILL","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Get_DLC_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
