tc_id,tc_dessc,login,password,properties,prop_url,Project,ScriptName,RememberMe,SubSearchCardNum,SubSearchSubNum,SubSearchEmail,SubSearchLastName,SubSearchFirstName,SubSearchAddress,SubSearchCity,SubSearchZip,SubSearchPhone,CreateSubDeactivate,CreateSubLastName,CreateSubFirstName,CreateSubCompany,CreateSubTitle,CreateSubAddress,CreateSubAddress2,CreateSubCity,CreateSubState,CreateSubCountry,CreateSubZip,CreateSubEmail,CreateSubPhone,CreateSubGSCustomer,CreateSubTitleCustomer,CreateSubType,CreateSubItemCode,CreateSubNumIssues,CreateSubFirstIssue,CreateSubFirstIssueMethod,CreateSubCardNum,CreateSubTransDate,CreateSubStoreID,ScoreCardTitle,ScoreCardStartIssue,SalesbyStateSubTitleId,SalesbyStateMonth,SalesbyStateYear,SalesbyZipSubTitleId,SalesbyZipMonth,SalesbyZipYear,TenDaysPrior,ReportDateStartRange,ReportDateEndRange
TFS65237QA,should select Reports from dropdown,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_report_spec.rb,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFS65237QA,should verify Reports page,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_report_spec.rb,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFS65248QA,should verify the Score Card Report,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_report_spec.rb,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game Informer [Digital],2011 Aug [8],,,,,,,,,
TFS65246QA,should verify Sales by State Report,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_report_spec.rb,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game Informer [Print],,,,,,,,
TFS65247QA,should verify Sales by Zip Report,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_report_spec.rb,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFS63501QA,should verify Ten Day Paid Sales Report,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_report_spec.rb,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFS63502QA,should verify 9850 Sales by State Report,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_report_spec.rb,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/10/2010,12/10/2013
TFS63503QA,should verify 9850 Sales by City Report,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_report_spec.rb,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/10/2010,12/10/2013
TFS42171QA,should validate Subscriber Search page,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_subscription_mgmt_spec.rb,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFS58913QA,should validate Subscriber id set as focus,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_subscription_mgmt_spec.rb,No,,45252710,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFS61595QA,should validate Subscriber is returned,402172,F!xTh1sN0w!,,http://qa.crm.gameinformer.com/,GameInformer,%QAAUTOMATION_SCRIPTS%\GameInformer\spec\crm_subscription_mgmt_spec.rb,No,,,,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
