"user","password","pur_num","oid","cid","mid","new_pwd"
"gsui_20141021_112206_558@qagsecomprod.oib.com","T3sting1",3976148231754,"fZGMtysc5UiS6CTyvMNA_w",1239381124,1254775422,"T3sting1!"
"gsui_20141021_112211_049@qagsecomprod.oib.com","T3sting1",3976405980242,"qPv0yl21bUmsjmE-Tzi-qg",1239381125,1254775423,"T3sting1!"
"gsui_20141021_112214_961@qagsecomprod.oib.com","T3sting1",3976724877699,"HlNJ6CbacUGNfpnfCC0HWg",1239381126,1254775424,"T3sting1!"
"gsui_20141021_112218_998@qagsecomprod.oib.com","T3sting1",3976028999405,"QTyfbe5p8kq5E9aSIL7vwg",1239381127,1254775425,"T3sting1!"
"gsui_20141021_112222_325@qagsecomprod.oib.com","T3sting1",3976958720110,"mktNkG7Lz0u_wakzT3eXmw",1239381128,1254775426,"T3sting1!"
"gsui_20141021_112225_314@qagsecomprod.oib.com","T3sting1",3976765660327,"DRnAu5ONgkqELQX2C040lA",1239381129,1254775427,"T3sting1!"
"gsui_20141021_112229_056@qagsecomprod.oib.com","T3sting1",3976378221566,"zQFX4GfuWUyZxwILogkxVQ",1239381130,1254775428,"T3sting1!"
"gsui_20141021_112232_137@qagsecomprod.oib.com","T3sting1",3976055650350,"rZvkFqTG2UOuwgPipa0OZQ",1239381131,1254775429,"T3sting1!"
"gsui_20141021_112235_408@qagsecomprod.oib.com","T3sting1",3976540342720,"_5JrnPLynUibh3chST5DNQ",1239381132,1254775430,"T3sting1!"
"gsui_20141021_112238_852@qagsecomprod.oib.com","T3sting1",3976528594201,"u--4xN1SfUmQBwrV5OxRLA",1239381133,1254775431,"T3sting1!"
"gsui_20141021_112241_834@qagsecomprod.oib.com","T3sting1",3976467828362,"Va6v6YZ2uUOdno1W2XQgpA",1239381134,1254775432,"T3sting1!"
"gsui_20141021_112244_544@qagsecomprod.oib.com","T3sting1",3976402397523,"wmA5j-2S3UWoCqsayRqCUw",1239381135,1254775433,"T3sting1!"
"gsui_20141021_112246_975@qagsecomprod.oib.com","T3sting1",3976629511914,"Noz_hRdopEebPPjGy_VPwQ",1239381136,1254775434,"T3sting1!"
"gsui_20141021_112249_601@qagsecomprod.oib.com","T3sting1",3976370380147,"fXk4W140h0GqfK8CVKfWXw",1239381137,1254775435,"T3sting1!"
"gsui_20141021_112251_843@qagsecomprod.oib.com","T3sting1",3976885039162,"A9nucWSCvkyTdGSf3_gQtQ",1239381138,1254775436,"T3sting1!"
"gsui_20141021_112254_930@qagsecomprod.oib.com","T3sting1",3976390734810,"MudNnHGLQk2Pu0AEIxSsTQ",1239381139,1254775437,"T3sting1!"
"gsui_20141021_112257_805@qagsecomprod.oib.com","T3sting1",3976803679123,"M6tbH2hh40inJHcfpHydlw",1239381140,1254775438,"T3sting1!"
"gsui_20141021_112301_345@qagsecomprod.oib.com","T3sting1",3976348178086,"GfKrRnLW-kyDGsoV9sC62g",1239381141,1254775439,"T3sting1!"
"gsui_20141021_112306_918@qagsecomprod.oib.com","T3sting1",3976596398899,"vPM2RxXsUkORCfDLSahoGw",1239381142,1254775440,"T3sting1!"
"gsui_20141021_112309_741@qagsecomprod.oib.com","T3sting1",3976645496868,"z14speUjEEOouO1rzZ1SRA",1239381143,1254775441,"T3sting1!"
"gsui_20141021_112312_509@qagsecomprod.oib.com","T3sting1",3976668738097,"atZDR0AA2k27SzqA6AU7xQ",1239381144,1254775442,"T3sting1!"
"gsui_20141021_112315_489@qagsecomprod.oib.com","T3sting1",3976013546831,"lR4nWGUQFkSD6Jf58UTJyA",1239381145,1254775443,"T3sting1!"
"gsui_20141021_112319_502@qagsecomprod.oib.com","T3sting1",3976314802321,"zybcm7equ0_B4HNezhQl7w",1239381146,1254775444,"T3sting1!"
"gsui_20141021_112322_649@qagsecomprod.oib.com","T3sting1",3976466908447,"2VxKnK3oQEusVtpOEthM5g",1239381147,1254775445,"T3sting1!"
"gsui_20141021_112325_791@qagsecomprod.oib.com","T3sting1",3976115939736,"sN7LQO0OA0iyTU6HjxoRbQ",1239381148,1254775446,"T3sting1!"
