"ID","Project","FunctionalArea","Role","Focus","ScriptName","TestDescription","login","password","first_name","last_name","birth_month","birth_day","gender","is_default_addr","addr_line1","addr_line2","city","state","postal_code","country","country_code","locale","phone_number","store_number","pur_tier","generate_user_name","email","email_domain","email_prefix","add_digital_wallet","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL"
"TFS67440","Profile","Login","AU","Login","%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC67440: CP - Create Account - UI Validation - GS' --or","CP - Create Account - UI Validation - GS",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68267","UAS","Create Account","AU","Password Rules","%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68267: CP - Successfully create an account from GS (UAS)' --or","CP - Successfully create an account from GS (UAS)",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS50185","Profile","Create Account","AU","Create","%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC50185: CP - Create Account - From GS - Email Opt-In' --or","CP - Create Account - From GS - Email Opt-In",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_Profiles","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68456","Profile","Create Account","AU","Create","%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68456: CP - Create Account - From GS - Unselect Email Opt-In' --or","CP - Create Account - From GS - Unselect Email Opt-In",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_Profiles","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS65857","Profile","Login","AU","Login","%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC65857: CP - Login via GS site goes to GS landing page' --or","CP - Login via GS site goes to GS landing page","giprint_test1@gspcauto.fav.cc","test1234@",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_Profiles","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68272","Profile","Forgot Password","AU","ForgotPassword","%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68272: CP - Successfully use forgot password to reset user password' --or","CP - Successfully use forgot password to reset user password","cp_forgotpassword@gspcauto.fav.cc","Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_Profiles","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68475","Profile","Personal Info","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68475: CP - Personal Info - Insert Personal Info for New User' --or","CP - Personal Info - Insert Personal Info for New User",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS48927","Profile","Personal Info","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC48927: CP - Personal Info - Username - Change Username functionality - GS User' --or","CP - Personal Info - Username - Change Username functionality - GS User",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68320","Profile","Addresses","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68320: CP - Addresses - Add Domestic Address' --or","CP - Addresses - Add Domestic Address",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68321","Profile","Addresses","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68321: CP - Addresses - Edit Domestic Address' --or","CP - Addresses - Edit Domestic Address",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68324","Profile","Addresses","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68324: CP - Addresses - Add International Address' --or","CP - Addresses - Add International Address",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68325","Profile","Addresses","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68325: CP - Addresses - Edit International Address' --or","CP - Addresses - Edit International Address",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68532","Profile","Addresses","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68532: CP - Addresses - Max Addresses Allowed' --or","CP - Addresses - Max Addresses Allowed",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68440","Profile","Addresses","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68440: CP - Addresses - Add Store' --or","CP - Addresses - Add Store",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS57188","Profile","Addresses","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC57188: CP - Addresses - Change Preferred Address and Store' --or","CP - Addresses - Change Preferred Address and Store",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68323","Profile","Addresses","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68323: CP - Addresses - Delete Non Preferred Address' --or","CP - Addresses - Delete Non Preferred Address",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68322","Profile","Addresses","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68322: CP - Addresses - Delete Preferred Address' --or","CP - Addresses - Delete Preferred Address",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68439","Profile","Addresses","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68439: CP - Addresses - Delete Store' --or","CP - Addresses - Delete Store",,"Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68534","Profile","Comm Prefs","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68534: GameStop - Communication Prefs � Subscribe' --or","GameStop - Communication Prefs - Subscribe","ottomatin_donottouch@gspcauto.fav.cc","Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_Profiles","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS68535","Profile","Comm Prefs","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC68535: GameStop - Communication Prefs - Unsubscribe' --or","GameStop - Communication Prefs - Unsubscribe","ottomatin_donottouch@gspcauto.fav.cc","Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_Profiles","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS66531","Profile","Order History","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC66531: CP - Orders - Order lookup options for Non Activated User' --or","CP - Orders - Order lookup options for Non Activated User","ottomatin_donottouch@gspcauto.fav.cc","Test12345",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS65961","Profile","Payments","AU",,"%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_regression_spec.rb --browser chrome -e 'TC65961: CP - Payment Method' --or","CP - Payment Method","snguitest122613@gspcauto.fav.cc","test1234",,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
TFS68458,Profile,"Create Account",AU,Create,"%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC 68458: CP - Create Account - From Activate - PUR' --or","CP - Create Account - From Activate - PUR",,Test12345,Accept,Tester,,,,TRUE,"625 Westport Pkwy",,Grapevine,TX,76051,US,US,en-US,8177227093,2356,3875,TRUE,NULL,@qagsecomprod.oib.com,gsui_,TRUE,,databases.csv,QA_ConsolidatedProfile,endpoints.csv,QA_V1,properties.csv,QA_PUR
"TFS74063","Profile","Login","AU","Account","%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_smoke.rb --browser chrome --or -e 'TFS74063 should create an account'","Should be able to create an account",,,,,,,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS74064","Profile","Login","AU","Account","%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_smoke.rb --browser chrome --or -e 'TFS74064 should login with existing account'","Should be able to login with existing account","gsui_20140910_1330@qagsecomprod.oib.com","T3sting1","Accept","Tester","April",12,"Male","TRUE","625 Westport Pkwy",,"Grapevine","TX",76051,"United States","US","en-US","(817) 424-2000",,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS74065","Profile","Login","AU","Account","%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_smoke.rb --browser chrome --or -e 'TFS74065 should update Personal Info'","Should be able to update personal infor","gsui_20140910_1330@qagsecomprod.oib.com","T3sting1","Accept","Tester","April",12,"Male","TRUE","625 Westport Pkwy",,"Grapevine","TX",76051,"United States","US","en-US","(817) 424-2000",,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
"TFS74066","Profile","Login","AU","Address","%QAAUTOMATION_SCRIPTS%\GameStop\spec\Profile\gs_profile_smoke.rb --browser chrome --or -e 'TFS74066 should add an address'","Should be able to add an address","gsui_20140910_1330@qagsecomprod.oib.com","T3sting1","Accept","Tester","April",12,"Male","TRUE","625 Westport Pkwy",,"Grapevine","TX",76051,"United States","US","en-US","(817) 424-2000",,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_GS"
