"ID","Project","ScriptName","login","password","TestDescription","ClientChannel","Locale","Currency","Brand","ShipEmail","ShipPhone","ShipCity","ShipCountryCode","ShipLine1","ShipLine2","ShipPostalCode","ShipState","ShipFirstName","ShipLastName","BillEmail","LoyaltyCardNumber","LoyaltyCardId","BillPhone","BillCity","BillCountryCode","BillLine1","BillLine2","BillPostalCode","BillState","BillFirstName","BillLastName","PromoCode","ShipmentType","shipping_option","CreditCard","CCType","ExpMonth","ExpYear","UseSVS","SVS","PIN","CVV","pay_type","Checkout","QtyIncrease","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV"
TFS44309,Checkout,%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\checkout_regular.rb,register,generate,"Should checkout as an authenticated user using a credit card",GS_US,en-US,USD,GS,svc_qa_auto@qagsecomprod.oib.com,8177227093,Grapevine,US,"625 Westport Pkwy",,76051,TX,Accept,Shipper,svc_qa_auto@qagsecomprod.oib.com,,,8177226078,Irving,US,"5615 High Point Dr",,75038,TX,Accept,Billing,,ShipToAddress,Value,343434343434343,AmericanExpress,8,2020,false,,,121,generate,true,0,get_single_product.sql,databases.csv,QA_Catalog,endpoints.csv,QA_V1
"TFS44313","Checkout","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\checkout_regular.rb",,,"Should checkout as a guest user using a credit card","GS_US","en-US","USD","GS","svc_qa_auto@qagsecomprod.oib.com","8177227093","Grapevine","US","625 Westport Pkwy",,"76051","TX","Accept","Shipper","svc_qa_auto@qagsecomprod.oib.com",,,"8177226078","Irving","US","5615 High Point Dr",,"75038","TX","Accept","Billing",,"ShipToAddress","Standard","343434343434343","AmericanExpress","9","2014","false",,,"1251","generate","true","1","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS45293","Checkout","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\checkout_regular.rb","svc_qa_auto@qagsecomprod.oib.com","T3sting","Should checkout as an authenticated user using a SVS card","GS_US","en-US","USD","GS","svc_qa_auto@qagsecomprod.oib.com","8177227093","Grapevine","US","625 Westport Pkwy",,"76051","TX","Accept","Shipper","svc_qa_auto@qagsecomprod.oib.com",,,"8177226078","Irving","US","5615 High Point Dr",,"75038","TX","Accept","Billing",,"ShipToAddress","One Day","343434343434343","AmericanExpress","8","2015","true","6364913881999911897","6395","124","svs","true","0","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS45294","Checkout","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\checkout_regular.rb",,,"Should checkout as a guest user using a SVS card","GS_US","en-US","USD","GS","svc_qa_auto@qagsecomprod.oib.com","8177227093","Grapevine","US","625 Westport Pkwy",,"76051","TX","Accept","Shipper","svc_qa_auto@qagsecomprod.oib.com",,,"8177226078","Irving","US","5615 High Point Dr",,"75038","TX","Accept","Billing",,"ShipToAddress","Two Day","343434343434343","AmericanExpress","9","2016","true","6364913880999911824","7415","112","svs","true","0","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS47081","Checkout","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\checkout_regular.rb","svc_qa_auto@qagsecomprod.oib.com","T3sting","Should checkout as an authenticated user using mixed payment tenders","GS_US","en-US","USD","GS","svc_qa_auto@qagsecomprod.oib.com","8177227093","Grapevine","US","625 Westport Pkwy",,"76051","TX","Accept","Shipper","svc_qa_auto@qagsecomprod.oib.com",,,"8177226078","Irving","US","5615 High Point Dr",,"75038","TX","Accept","Billing",,"ShipToAddress","Value","343434343434343","AmericanExpress","8","2025","false",,,"515","generate","true","0","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS47082","Checkout","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\checkout_regular.rb",,,"Should checkout as an guest user using mixed payment tenders","GS_US","en-US","USD","GS","svc_qa_auto@qagsecomprod.oib.com","8177227093","Grapevine","US","625 Westport Pkwy",,"76051","TX","Accept","Shipper","svc_qa_auto@qagsecomprod.oib.com",,,"8177226078","Irving","US","5615 High Point Dr",,"75038","TX","Accept","Billing",,"ShipToAddress","Standard","343434343434343","AmericanExpress","9","2030","false",,,"5158","generate","true","0","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS47083","Checkout","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\checkout_regular.rb","register","generate","Should checkout as a new registered user using a credit card","GS_US","en-US","USD","GS","svc_qa_auto@qagsecomprod.oib.com","8177227093","Grapevine","US","625 Westport Pkwy",,"76051","TX","Accept","Shipper","svc_qa_auto@qagsecomprod.oib.com",,,"8177226078","Irving","US","5615 High Point Dr",,"75038","TX","Accept","Billing",,"ShipToAddress","One Day","6011186767363110","Discover","8","2033","false",,,"112","generate","true","0","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS47084","Checkout","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\checkout_regular.rb","register","generate","Should checkout as a new registered user using a SVS card","GS_US","en-US","USD","GS","svc_qa_auto@qagsecomprod.oib.com","8177227093","Grapevine","US","625 Westport Pkwy",,"76051","TX","Accept","Shipper","svc_qa_auto@qagsecomprod.oib.com",,,"8177226078","Irving","US","5615 High Point Dr",,"75038","TX","Accept","Billing",,"ShipToAddress","Two Day","343434343434343","AmericanExpress","9","2014","true","6364913882999900468","6330","1024","svs","true","0","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS47085","Checkout","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\checkout_regular.rb","register","generate","Should checkout as a new registered user using mixed payment tenders","GS_US","en-US","USD","GS","svc_qa_auto@qagsecomprod.oib.com","8177227093","Grapevine","US","625 Westport Pkwy",,"76051","TX","Accept","Shipper","svc_qa_auto@qagsecomprod.oib.com",,,"8177226078","Irving","US","5615 High Point Dr",,"75038","TX","Accept","Billing",,"ShipToAddress","Value","6011186767363110","Discover","8","2020","false",,,"112","generate","true","0","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS47086","Checkout","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\checkout_regular.rb","svc_qa_auto@qagsecomprod.oib.com","T3sting","Should checkout as an existing user with a domestic address same billing as shipping","GS_US","en-US","USD","GS","svc_qa_auto@qagsecomprod.oib.com","8177227093","Grapevine","US","625 Westport Pkwy",,"76051","TX","Accept","Shipper","svc_qa_auto@qagsecomprod.oib.com",,,"8177226078","Irving","US","5615 High Point Dr",,"75038","TX","Accept","Billing",,"ShipToAddress","Standard","343434343434343","AmericanExpress","9","2014","false",,,"6651","generate","true","0","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
