"ID","Project","ScriptName","login","password","TestDescription","ClientChannel","Locale","Currency","Brand","ShipEmail","ShipPhone","ShipCity","ShipCountryCode","ShipLine1","ShipLine2","ShipPostalCode","ShipState","ShipFirstName","ShipLastName","BillEmail","LoyaltyCardNumber","LoyaltyCardId","BillPhone","BillCity","BillCountryCode","BillLine1","BillLine2","BillPostalCode","BillState","BillFirstName","BillLastName","PromoCode","ShipmentType","shipping_option","CreditCard","CCType","ExpMonth","ExpYear","UseSVS","SVS","PIN","CVV","pay_type","Checkout","QtyIncrease","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Sku"
"OMS01","OMS","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\oms_perf_cc_spec.rb","oms_qa_perf01@gamestop.com","T3sting1","Performance test create 500 orders using Mastercard","GS_US","en-US","USD","GS","oms_qa_perf01@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS","oms_qa_perf01@gamestop.com",,,8177226078,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS",,"ShipToAddress","Value","5555555555554444","MasterCard",12,2020,"false",,,121,"cc","true",1,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1",952002
"OMS02","OMS","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\oms_perf_cc_spec.rb","oms_qa_perf02@gamestop.com","T3sting1","Performance test create 500 orders using Visa","GS_US","en-US","USD","GS","oms_qa_perf02@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS","oms_qa_perf02@gamestop.com",,,8177226078,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS",,"ShipToAddress","Value","4111111111111111","Visa",12,2020,"false",,,121,"cc","true",1,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1",952002
"OMS03","OMS","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\oms_perf_cc_spec.rb","oms_qa_perf03@gamestop.com","T3sting1","Performance test create 500 orders using Discover","GS_US","en-US","USD","GS","oms_qa_perf03@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS","oms_qa_perf03@gamestop.com",,,8177226078,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS",,"ShipToAddress","Value","6011111111111117","Discover",12,2020,"false",,,121,"cc","true",1,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1",952002
"OMS04","OMS","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\oms_perf_cc_spec.rb","oms_qa_perf04@gamestop.com","T3sting1","Performance test create 500 orders using Amex","GS_US","en-US","USD","GS","oms_qa_perf04@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS","oms_qa_perf04@gamestop.com",,,8177226078,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS",,"ShipToAddress","Value","343434343434343","AmericanExpress",9,2026,"false",,,8523,"cc","true",1,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1",952002
"OMS05","OMS","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\oms_perf_gc_spec.rb","oms_qa_perf05@gamestop.com","T3sting1","Performance test create 500 orders using GC1","GS_US","en-US","USD","GS","oms_qa_perf05@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS","oms_qa_perf05@gamestop.com",,,8177226078,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS",,"ShipToAddress","Value",,,,,"true","6364913881999911897",6395,,"svs","true",1,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1",952002
"OMS06","OMS","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\oms_perf_gc_spec.rb","oms_qa_perf06@gamestop.com","T3sting1","Performance test create 500 orders using GC2","GS_US","en-US","USD","GS","oms_qa_perf06@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS","oms_qa_perf06@gamestop.com",,,8177226078,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS",,"ShipToAddress","Value",,,,,"true","6364913882999900468",6330,,"svs","true",1,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1",952002
"OMS07","OMS","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\oms_perf_gc_spec.rb","oms_qa_perf07@gamestop.com","T3sting1","Performance test create 500 orders using GC3","GS_US","en-US","USD","GS","oms_qa_perf07@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS","oms_qa_perf07@gamestop.com",,,8177226078,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS",,"ShipToAddress","Value",,,,,"true","6364913881999911889",4940,,"svs","true",1,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1",952002
"OMS08","OMS","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\oms_perf_gc_spec.rb","oms_qa_perf08@gamestop.com","T3sting1","Performance test create 500 orders using GC4","GS_US","en-US","USD","GS","oms_qa_perf08@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS","oms_qa_perf08@gamestop.com",,,8177226078,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS",,"ShipToAddress","Value",,,,,"true","6364913880999911824",7415,,"svs","true",1,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1",952002
"OMS09","OMS","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\oms_perf_purcc_spec.rb","oms_qa_perf09@gamestop.com","T3sting1","Performance test create 500 orders using PURCC1","GS_US","en-US","USD","GS","oms_qa_perf09@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS","oms_qa_perf09@gamestop.com",,,8177226078,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS",,"ShipToAddress","Value","7788400030004241","PURCC",12,2049,"false",,,121,"cc","true",1,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1",952002
"OMS10","OMS","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\Services\Checkout\oms_perf_purcc_spec.rb","oms_qa_perf10@gamestop.com","T3sting1","Performance test create 500 orders using PURCC2","GS_US","en-US","USD","GS","oms_qa_perf10@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS","oms_qa_perf10@gamestop.com",,,8177226078,"Grapevine","US","625 Westport Pkwy",,76051,"TX","Accept","OMS",,"ShipToAddress","Value","7788400030004282","PURCC",12,2049,"false",,,121,"cc","true",1,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1",952002
