"ID","TestCaseName","CC_type","CC_number","CC_exp_month","CC_exp_year","payment_amount","cvv","order_status","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV"
"TFS1","TSYS CVV Positive Response Visa","Visa","4716081467305766","12","2020","2100","111","Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFS2","TSYS CVV Positive Response MasterCard","MasterCard","5379100654649284","12","2020","2100","123","Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFS3","TSYS CVV Positive Response Discover","Discover","6011266320013767","12","2020","2100","321","Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFS4","TSYS CVV 1111 AMEX","AmericanExpress","376594559276298","12","2020","2100","1111","Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFS5","PaymentService_FraudCheck_Valid_CVV_3333_AMEX","AmericanExpress","376594559276298","12","2020","2100","3333","Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFS6","PaymentService_FraudCheck_Valid_CVV_7777_AMEX","AmericanExpress","376594559276298","12","2020","2100","7777","Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFS7","PaymentService_FraudCheck_Valid_CVV_8888_AMEX","AmericanExpress","376594559276298","12","2020","2100","8888 ","Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFS8","PaymentService_FraudCheck_Invalid_CVV_2222_AMEX","AmericanExpress","376594559276298","02","2018","2100","2222","Rejected","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFS9","PaymentService_FraudCheck_Invalid_CVV_5555_AMEX","AmericanExpress","376594559276298","02","2018","2100","5555","Rejected","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFS10","PaymentService_FraudCheck_Invalid_CVV_6666_AMEX","AmericanExpress","376594559276298","02","2018","2100","6666","Rejected","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFSVISA","Valid Visa with Valid Expiration Date",,"4716081467305766",12,2020,,343,"Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFSMC","Valid Mastercard with Valid Expiration Date",,"5379100654649284",10,2019,,332,"Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFSAE","Valid AmericanExpress with Valid Expiration Date",,"376594559276298","“09”",2015,,1123,"Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
"TFSDISC","Valid Discover with Valid Expiration Date",,"6011266320013767","“01”",2017,,332,"Accepted","get_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA2_Paypal1"
