ID,TestCaseName,ClientChannel,ShouldTokenizePayments,Fname,EmailId,CCType,CCNumber,ExpMonth,ExpYear,CCAmount,CVV,SVSNumber,SVSPin,SVSAmount,SVSPurchaseAmount,DiscountCode,FulfillmentChannel,BillingLine1,BillingLine2,BillingCity,BillingState,BillingZip,BillingCountry,ShippingLine1,ShippingLine2,ShippingCity,ShippingState,ShippingZip,ShippingCountry,Result,SKUS,SqlQuery,Databases,DB_ENV,Endpoints,SVC_ENV
TFS46800,PaymentService-CheckFraud-Physical Product Purchase using Valid CC,GS_US,TRUE,Review,Review@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"800874",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46801,PaymentService-CheckFraud-Digital Order purchase for using Valid CC,GS_US,TRUE,Review,Review@GameStop.com,MasterCard,5263067393947775,12,2020,10,343,,,,,,Digital,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"600066",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46802,PaymentService-CheckFraud-Preorder Purchase for Using CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"270778",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46803,PaymentService-CheckFraud-Physical and Digital Order Purchase  Using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"800874,600066",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46804,PaymentService-CheckFraud-Preorder and Non Preorder Purchase  Using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"800874,270778",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46805,PaymentService-CheckFraud- Preorders Releasing on different dates  Using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"200449,270778",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46806,PaymentService-CheckFraud-Preorder Product and DLC Purchase  With Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"600066,270778",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46807,PaymentService-CheckFraud-Preorder DLC purchase  using Valid CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFS46809,PaymentService-CheckFraud-Virtual GC purchase  using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,50,,Digital,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"339901",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
TFS46810,PaymentService-CheckFraud-Physical GC Purchase  using Valid CC,GS_US,TRUE,Review,Accept@GameStop.com,Visa,4111111111111111,12,2020,10,343,,,,50,,ShipToAddress,625 westport pkwy,,Irving,TX,76051,US,625 westport pkwy,,Irving,TX,76051,US,Review,"339992",,databases.csv,QA_Catalog,endpoints.csv,QA_Accertify1
