"ID","TestDescription","client_channel","currency","first_name","last_name","email","payment_type","payment_amount","cc_type","cc_number","cc_exp_month","cc_exp_year","cvv","svs_number","svs_pin","discount_code","fulfillment_channel","billing_line1","billing_line2","billing_city","billing_county","billing_state","billing_zip","billing_country","billing_phone","shipping_line1","shipping_line2","shipping_city","shipping_county","shipping_state","shipping_zip","shipping_country","shipping_phone","result","reference_number","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV"
"PMT01","perform_auth_and_settle","GS_US","USD","Accept","QA","robertsantos@gamestop.com","CreditCard",9.99,"PURCC","7788400030004720",12,2049,,,,,"ShipToAddress","625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"Approved","4141105145633558",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"PMT02","perform_authorize_payment","GS_US","USD","Accept","QA","robertsantos@gamestop.com","CreditCard",9.99,"PURCC","7788400030004720",12,2049,,,,,"ShipToAddress","625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"Approved","4141105145633558",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"ChkFrd01","perform_check_fraud","GS_US","USD","Accept","QA","robertsantos@gamestop.com","CreditCard",9.99,"PURCC","7788400030004720",12,2049,,,,,"ShipToAddress","625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"Approved",,,"databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"PMT03","perform_create_vendor_agreement","GS_US","USD","Accept","QA","robertsantos@gamestop.com","Paypal",9.99,,,,,,,,,"ShipToAddress","625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"Created","4141105145633558",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"PMT04","perform_credit","GS_US","USD","Accept","QA","robertsantos@gamestop.com","CreditCard",9.99,"PURCC","7788400030004605",12,2049,,,,,"ShipToAddress","625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"Approved","4141105145633558",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"PMT05","perform_get_stored_value_balances","GS_US","USD","Accept","QA","robertsantos@gamestop.com","SVS",9.99,,,,,,"6364913881999911897",6395,,"ShipToAddress","625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"Success",,,"databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"PMT06","perform_get_vendor_agreement_details","GS_US","USD","Accept","QA","robertsantos@gamestop.com",,9.99,,,,,,,,,"ShipToAddress","625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"Verified","4141105145633558",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"PMT07","perform_issue_stored_value_card","GS_US","USD","Accept","QA","robertsantos@gamestop.com","SVS",1000,,,,,,6364911001999910000,,,"ShipToAddress","625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,,"4141105145633558",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"PMT08","perform_save_payment_methods","GS_US","USD","Accept","Amex","robertsantos@gamestop.com","CreditCard",1000,"AmericanExpress",372888742449703,12,2020,,,,,"ShipToAddress","625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"Success","4141105145633558",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"PMT09","perform_save_payment_methods_to_wallet","GS_US","USD","Accept","PURCC","robertsantos@gamestop.com","CreditCard",1000,"PURCC","7788400030004605",11,2020,,,,,"ShipToAddress","625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"625 Westport Pkwy",,"Grapevine",,"TX",76051,"US",8174242000,"Success","4141105145633558",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1"
