"ID","Project","FunctionalArea","Role","Focus","ScriptName","TestDescription","login","password","powerup_number","load_ship_addr_from_profile","load_bill_addr_from_profile","svs","pin","cc_type","cc_number","cc_month","cc_year","cvv","shipping_option","ship_first_name","ship_last_name","ship_addr1","ship_addr2","ship_city","ship_county","ship_state","ship_zip","ship_country","ship_email","ship_phone","bill_first_name","bill_last_name","bill_addr1","bill_addr2","bill_city","bill_county","bill_state","bill_zip","bill_country","bill_email","bill_phone","hops_zip","hops_phone","submit_order_flag","use_paypal_at_cart","use_paypal_at_payment","promo_code_number","discount_type","add_free_gift","gift_msg","add_digital_wallet","pay_from_digital_wallet","billing_address_same_as_shipping","renewal_type","renew_pur","GC_TYPE","GC_AMNT","GC_QTY","GC_OTHER_AMNT","do_linkshare","do_ef","do_ci","do_optimizely","do_adroll","do_google_analytics","do_ispu","do_upsell","validate_cart_badge","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL","env","browser","sku","qty"
"TFS18116","OMS","Checkout","AU","GC","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_gc_spec.rb","Purchase giftcards physical and digital","oms_qa_01@gamestop.com","T3sting1",,"TRUE","FALSE","6364913880999911741",7232,,,,,,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_guest@qagsecomprod.oib.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_guest@qagsecomprod.oib.com",8174242000,75220,"(972) 891-6078","TRUE","FALSE","FALSE",,,"FALSE",,"TRUE","FALSE","TRUE",,"FALSE","GiftCard|GiftCertificate","10|Other","1|1",20,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",,
"TFS19270","OMS","Checkout","AU","GC","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_gc_spec.rb","Purchase a Quantity of 5 for Virtual Gift Cards","oms_qa_18@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140656_873@qagsecomprod.oib.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140656_873@qagsecomprod.oib.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE","GiftCertificate|GiftCertificate|GitCertificate|GitCertificate|GitCertificate","10|25|50|75|100","1|1|1|1|1",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",,
"TFS18130","OMS","Checkout","AU","Discount","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Single item order pay with PP with a discount","oms_qa_02@gamestop.com","T3sting1",,"TRUE","FALSE",,,"American Express","343434343434343","04",2020,4512,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140728_998@qagsecomprod.oib.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140728_998@qagsecomprod.oib.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE","EcomQAUseONLY-3",,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",230195,1
"TFS67082","OMS","Checkout","AU","Discount","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Verify  MLSU  PC download  order paid with CC and Discount Coupon","oms_qa_03@gamestop.com","T3sting1",,"TRUE","FALSE",,,"American Express","343434343434343","09",2016,4512,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140941_254@qagsecomprod.oib.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140941_254@qagsecomprod.oib.com",8174242000,75220,"(972) 891-6078","TRUE","FALSE","FALSE","EcomQAUseONLY-3","percent","FALSE","this is a gift message","FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Get_PreOrder_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","523001|520005","1|1"
"TFS46989","OMS","Checkout","AU","Discount","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Orders created with Order level and Line level discounts","oms_qa_04@gamestop.com","T3sting1",,"TRUE","FALSE",,,"American Express","343434343434343","09",2016,4512,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140941_254@qagsecomprod.oib.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140941_254@qagsecomprod.oib.com",8174242000,75220,"(972) 891-6078","TRUE","FALSE","FALSE","EcomQAUseONLY-2|EcomQAUseONLY-3","percent","FALSE","this is a gift message","FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Get_PreOrder_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","804177|804178|952002","1|1|1"
"TFS46988","OMS","Checkout","AU","Discount","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Orders placed with Line Level discounts","oms_qa_05@gamestop.com","T3sting1",,"TRUE","FALSE",,,"American Express","343434343434343","09",2016,4512,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140941_254@qagsecomprod.oib.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140941_254@qagsecomprod.oib.com",8174242000,75220,"(972) 891-6078","TRUE","FALSE","FALSE","EcomQAUseONLY-3","percent","FALSE","this is a gift message","FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Get_PreOrder_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",804177,1
"TFS46973","OMS","Checkout","AU","Discount","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Orders placed with  Orderlevel discounts","oms_qa_06@gamestop.com","T3sting1",,"TRUE","FALSE",,,"American Express","343434343434343","09",2016,4512,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140941_254@qagsecomprod.oib.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140941_254@qagsecomprod.oib.com",8174242000,75220,"(972) 891-6078","TRUE","FALSE","FALSE","EcomQAUseONLY-2","percent","FALSE","this is a gift message","FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Get_PreOrder_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",804178,1
"TFS34054","OMS","Checkout","AU","Account","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Sterling SmokeTest","oms_review_user@gamestop.com","T3sting1",,"TRUE","FALSE",,,"American Express","343434343434343","09",2016,4512,,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,"Review","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","oms_review_user@gamestop.com",8174242000,75220,"(972) 891-6078","TRUE","FALSE","FALSE",,"percent","FALSE","this is a gift message","FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Get_PreOrder_Products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","952002|270731|550001","1|1|1"
"TFS49549","OMS","Checkout","AU","Paypal","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","Validate orders with PreOrder and DLC via PayPal","oms_qa_07@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,"Two Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140656_873@qagsecomprod.oib.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140656_873@qagsecomprod.oib.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE",,,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome","102542|550001","1|1"
"TFS49540","OMS","Checkout","AU","Discount","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\oms_checkout_regular_spec.rb","order placed with  Line level discounts with PayPal","oms_qa_08@gamestop.com","T3sting1",,"TRUE","FALSE",,,"Visa","4111111111111111","05",2020,123,,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140656_873@qagsecomprod.oib.com",8174242000,"Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas","76051","United States of America","gsui_20140606_140656_873@qagsecomprod.oib.com",8174242000,75220,"(972) 891-6078","TRUE","TRUE","FALSE","EcomQAUseONLY-3",,"FALSE",,"FALSE","FALSE","TRUE",,"FALSE",,,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome",952002,1
