"ID","Project","ScriptName","TestDescription","login","password","powerup_number","svs","pin","cc_type","cc_number","cc_month","cc_year","cvv","shipping_option","ship_first_name","ship_last_name","ship_addr1","ship_addr2","ship_city","ship_county","ship_state","ship_zip","ship_country","ship_email","ship_phone","load_ship_addr_from_profile","bill_first_name","bill_last_name","bill_addr1","bill_addr2","bill_city","bill_county","bill_state","bill_zip","bill_country","bill_email","bill_phone","load_bill_addr_from_profile","hops_zip","hops_phone","submit_order_flag","use_paypal_at_cart","use_paypal_at_payment","power_up_rewards_number","promo_code_number","discount_type","discount_amount_from_cart","add_free_gift","add_digital_wallet","pay_from_digital_wallet","billing_address_same_as_shipping","sign_up_weekly_ads","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL","browser","GC_TYPE","GC_AMNT","GC_QTY","do_linkshare","do_ef","do_ci","do_optimizely","do_adroll","do_google_analytics","do_upsell","do_ispu"
"TFS60916","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Verify Authenticated Cookies for SSO states on GameStop.com","gsui_20140606_140620_430@qagsecomprod.oib.com","T3sting1",3976748419049,,,"generate","generate",10,2013,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_products_with_titles.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60273","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Cookie verification on gamestop.com","gsui_20140606_140624_403@qagsecomprod.oib.com","T3sting1",3976446736603,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60275","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Cookie verification on gamestop.com secure pages after Log In","gsui_20140606_140626_656@qagsecomprod.oib.com","T3sting1",3976257598365,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60276","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Cookie verification on gamestop.com after entering a secure page and return to a non secure page","gsui_20140606_140629_230@qagsecomprod.oib.com","T3sting1",3976444882441,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60284","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Cookie verification on gamestop.com poweruprewards after Log In","gsui_20140606_140631_282@qagsecomprod.oib.com","T3sting1",3976281437143,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60285","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Cookie verification on gamestop.com poweruprewards after Log Out","gsui_20140606_140633_715@qagsecomprod.oib.com","T3sting1",3976770581435,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60288","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Cookie verification on gamestop.com Checkout after Log In","gsui_20140606_140635_873@qagsecomprod.oib.com","T3sting1",3976392419295,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","firefox",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60289","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Cookie verification on gamestop.com Checkout after Log Out","gsui_20140606_140638_286@qagsecomprod.oib.com","T3sting1",3976277072375,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","ie",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60309","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for Anonymous In for m.GS.com PUR","gsui_20140606_140640_647@qagsecomprod.oib.com","T3sting1",3976026481687,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"TFS60310","Single Sign-On","%QAAUTOMATION_SCRIPTS%\GameStop\spec\UI\SSO\single_sign_on_spec.rb --browser chrome","Check Cookies for Anonymous In for m.GS.com PUR","gsui_20140606_140642_909@qagsecomprod.oib.com","T3sting1",3976723688857,,,"generate","generate",10,2016,4512,"One Day","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","auto_generic_qa2@gamestop.com",8174242000,"TRUE","Accept","Tester","625 Westport Pkwy",,"Grapevine",,"Texas",76051,"United States of America","chug-855401@mypacks.net",8174242000,"TRUE",75220,"(972) 891-6078","true","FALSE","FALSE",,,,,"False","False","FALSE","False","False","get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","firefox",,,,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
