"ID","Project","FunctionalArea","Role","Focus","ScriptName","TestDescription","login","password","is_in_stock","is_online_only","page_index","page_size","filter_type","filter_values","sort_order","search_term_override","sku_search","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL"
SearchTest,GameStop,Search,GU,Regression,%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb,"Perform product keyword search from homepage as guest",,,TRUE,FALSE,0,25,Rating,0,Descending,"Skate 3","NOT IMPLEMENTED YET",,databases.csv,QA_Catalog,endpoints.csv,QA_V1,properties.csv,QA_GS
,"Checkout","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform product keyword search from cart as guest",,,"TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
,"GameStop","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform targeted keyword search from homepage as guest",,,"TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
,"Checkout","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform targeted keyword search from cart as guest",,,"TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
,"Profile","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform product keyword search from profile as guest",,,"TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
,"Profile","Search","GU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform targeted keyword search from profile as guest",,,"TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","AU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform product keyword search from homepage as auth user","gsui_20140910_110510_532@qagsecomprod.oib.com","T3sting1","TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","Checkout","Search","AU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform product keyword search from cart as auth user","gsui_20140910_110514_612@qagsecomprod.oib.com","T3sting1","TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","GameStop","Search","AU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform targeted keyword search from homepage as auth user","gsui_20140910_110516_508@qagsecomprod.oib.com","T3sting1","TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
"NOT SUPPORTED YET","Checkout","Search","AU","Regression","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\Search\game_stop_search_spec.rb","Perform targeted keyword search from cart as auth user","gsui_20140910_110518_284@qagsecomprod.oib.com","T3sting1","TRUE","FALSE",0,25,"Rating",0,"Descending",,"NOT IMPLEMENTED YET",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS"
