ID,TestCaseName,CCType,CCNumber,ExpMonth,ExpYear,CVV,SVSNumber,SVSPin,DiscountCode,FulfillmentChannel,FirstName,LastName,ShippingLine1,ShippingLine2,ShippingCity,ShippingState,ShippingZip,ShippingCountry,ShippingPhone,ShippingEmail,BillingLine1,BillingLine2,BillingCity,BillingState,BillingZip,BillingCountry,BillingPhone,BillingEmail,Username,Password,PUR,MainURL,ProductURL,SKUS
TFS47260,Checkout-MobileUI-Physical Product Purchase using Valid CC as Guest,Visa,4111111111111111,12,2020,343,6364911003999900216,0435,EMPTD5KP7B,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,United States of America,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,United States of America,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47261,Checkout-MobileUI-Digital Product Purchase using Valid CC as Guest,Visa,4111111111111111,12,2020,343,,,,Digital,Accept ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,600060
TFS47264,Checkout-MobileUI-PreOrder Product Purchase using Valid CC Shipped as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,201198
TFS47267,Checkout-MobileUI-Physical Product And Digital Purchase using Valid CC as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Accept ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,600060"
TFS47268,Checkout-MobileUI-Preorder and Non Preorder Purchase Using Valid CC as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,201198"
TFS47270,Checkout-MobileUI-Preorder Product and DLC Purchase With Valid CC as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Accept ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"600060,201198"
TFS47272,Checkout-MobileUI-Physical Product Purchase as Employee Order using Valid CC as Guest,Visa,4111111111111111,12,2020,343,,,EMYYYW62GD,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47273,Checkout-MobileUI-Physical Order purchase as International Order using Valid CC as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,38 Albany Hwy,,Albany,WA,6330,Australia,4691231234,gsmobiletesting@gamestop.com,38 Albany Hwy,,Albany,WA,6330,AU,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47274,Checkout-MobileUI-Physical Product Purchase for BillShip Mismatch Using Valid CC as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,5615 High Point Dr,,Irving,Texas,75038,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,800617
TFS47275,Checkout-MobileUI-Multiple Physical Products Purchase (value GT $200) for High Dollar  using Valid CC as Guest,Visa,4111111111111111,12,2020,343,,,,ShipToAddress,Review ,QA,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,625 westport pkwy,,Grapevine,Texas,76051,US,4691231234,gsmobiletesting@gamestop.com,newcheckout@gamestop.com,abc123,,http://m.gamestop.com,http://m.gamestop.com/Catalog/Sku/,"800617,201198,200449,270778"
