"ID","Project","ScriptName","TestDescription","login","password","valid_pur_svs_cc","pur","promo_code","continue_checkout","cc_type","cc_number","exp_month","exp_year","cvv","svs_number","svs_pin","first_name","last_name","shipping_line1","shipping_line2","shipping_city","shipping_state","shipping_zip","shipping_country","shipping_phone","shipping_email","billing_line1","billing_line2","billing_city","billing_state","billing_zip","billing_country","billing_phone","billing_email","Endpoints","SVC_ENV","Property","PROP_URL","SqlQuery","Databases","DB_ENV","submit_order","billing_address_same_as_shipping","change_existing_address","do_google_analytics","GC_TYPE","GC_AMNT","GC_QTY","GC_OTHER_AMNT","use_paypal_at_cart","use_paypal_at_payment","do_pixel_validate"
"TFS47517","Cart","%QAAUTOMATION_SCRIPTS%\GameStopMobile\spec\UI\GSmobile_guest_checkout_spec.rb   --browser chrome","GS Mobile Invalid PowerUp Number should be Rejected",,,"FALSE",3876223442111,,"FALSE","Visa","4111111111111111",12,2020,343,,,"Accept","Tester","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","endpoints.csv","QA_V1","properties.csv","MQA_GS","get_single_product.sql","databases.csv","QA_Catalog","FALSE","FALSE","FALSE","FALSE",,,,,"FALSE","FALSE",
"TFS47518","Cart","%QAAUTOMATION_SCRIPTS%\GameStopMobile\spec\UI\GSmobile_guest_checkout_spec.rb   --browser chrome","GS Mobile Valid PowerUp Number should be Accepted",,,"TRUE",3876307605089,,"FALSE","Visa","4111111111111111",12,2020,343,,,"Accept","Tester","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","endpoints.csv","QA_V1","properties.csv","MQA_GS","get_single_product.sql","databases.csv","QA_Catalog","FALSE","FALSE","FALSE","FALSE",,,,,"FALSE","FALSE",
"TFS47465","Cart","%QAAUTOMATION_SCRIPTS%\GameStopMobile\spec\UI\GSmobile_auth_user_checkout_spec.rb  --login qa_ui_testing1@qagsecomprod.oib.com --password T3sting  --browser chrome","GS Mobile Edit Quantity for a Product from the Cart holding Single Product as Auth User","qa_ui_testing1@qagsecomprod.oib.com","T3sting","TRUE",,,"FALSE","Visa","4111111111111111",12,2020,343,,,"Accept","Tester","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","endpoints.csv","QA_V1","properties.csv","MQA_GS","get_single_product.sql","databases.csv","QA_Catalog","FALSE","FALSE","FALSE","FALSE",,,,,"FALSE","FALSE",
"TFS47466","Cart","%QAAUTOMATION_SCRIPTS%\GameStopMobile\spec\UI\GSmobile_auth_user_checkout_spec.rb  --login qa_ui_testing1@qagsecomprod.oib.com --password T3sting  --browser chrome","GS Mobile Edit Quantity for a Single Product from the Cart holding Multiple Product as Auth User","qa_ui_testing1@qagsecomprod.oib.com","T3sting","TRUE",,,"FALSE","Visa","4111111111111111",12,2020,343,,,"Accept","Tester","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","endpoints.csv","QA_V1","properties.csv","MQA_GS","get_products.sql","databases.csv","QA_Catalog","FALSE","FALSE","FALSE","FALSE",,,,,"FALSE","FALSE",
"TFS47467","Cart","%QAAUTOMATION_SCRIPTS%\GameStopMobile\spec\UI\GSmobile_auth_user_checkout_spec.rb  --login qa_ui_testing1@qagsecomprod.oib.com --password T3sting  --browser chrome","GS Mobile Edit Quantity for a Multi Product from the Cart holding Multi Product as Auth User","qa_ui_testing1@qagsecomprod.oib.com","T3sting","TRUE",,,"FALSE","Visa","4111111111111111",12,2020,343,,,"Accept","Tester","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","endpoints.csv","QA_V1","properties.csv","MQA_GS","get_products.sql","databases.csv","QA_Catalog","FALSE","FALSE","FALSE","FALSE",,,,,"FALSE","FALSE",
"TFS47459","Cart","%QAAUTOMATION_SCRIPTS%\GameStopMobile\spec\UI\GSmobile_guest_checkout_spec.rb   --browser chrome","GS Mobile Edit Quantity for a Product from the Cart holding Single Product as Guest",,,"TRUE",,,"FALSE","Visa","4111111111111111",12,2020,343,,,"Accept","Tester","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","endpoints.csv","QA_V1","properties.csv","MQA_GS","get_single_product.sql","databases.csv","QA_Catalog","FALSE","FALSE","FALSE","FALSE",,,,,"FALSE","FALSE",
"TFS47460","Cart","%QAAUTOMATION_SCRIPTS%\GameStopMobile\spec\UI\GSmobile_guest_checkout_spec.rb   --browser chrome","GS Mobile Edit Quantity for a Single Product from the Cart holding Multiple Product as Guest",,,"TRUE",,,"FALSE","Visa","4111111111111111",12,2020,343,,,"Accept","Tester","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","endpoints.csv","QA_V1","properties.csv","MQA_GS","get_products.sql","databases.csv","QA_Catalog","FALSE","FALSE","FALSE","FALSE",,,,,"FALSE","FALSE",
"TFS47461","Cart","%QAAUTOMATION_SCRIPTS%\GameStopMobile\spec\UI\GSmobile_guest_checkout_spec.rb   --browser chrome","GS Mobile Edit Quantity for a Multi Product from the Cart holding Multi Product as Guest",,,"TRUE",,,"FALSE","Visa","4111111111111111",12,2020,343,,,"Accept","Tester","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","endpoints.csv","QA_V1","properties.csv","MQA_GS","get_products.sql","databases.csv","QA_Catalog","FALSE","FALSE","FALSE","FALSE",,,,,"FALSE","FALSE",
"TFS47462","Cart","%QAAUTOMATION_SCRIPTS%\GameStopMobile\spec\UI\GSmobile_auth_user_checkout_spec.rb  --login qa_ui_testing1@qagsecomprod.oib.com --password T3sting  --browser chrome","GS Mobile Remove one item from the cart holding multiple products as Auth User","qa_ui_testing1@qagsecomprod.oib.com","T3sting","TRUE",,,"FALSE","Visa","4111111111111111",12,2020,343,,,"Accept","Tester","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","endpoints.csv","QA_V1","properties.csv","MQA_GS","get_products.sql","databases.csv","QA_Catalog","FALSE","FALSE","FALSE","FALSE",,,,,"FALSE","FALSE",
"TFS47463","Cart","%QAAUTOMATION_SCRIPTS%\GameStopMobile\spec\UI\GSmobile_auth_user_checkout_spec.rb  --login qa_ui_testing1@qagsecomprod.oib.com --password T3sting  --browser chrome","GS Mobile Remove Product from the Cart holding Single Product as Auth User","qa_ui_testing1@qagsecomprod.oib.com","T3sting","TRUE",,,"FALSE","Visa","4111111111111111",12,2020,343,,,"Accept","Tester","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","625 westport pkwy",,"Grapevine","Texas",76051,"US",4691231234,"robertsantos@gamestop.com","endpoints.csv","QA_V1","properties.csv","MQA_GS","get_single_product.sql","databases.csv","QA_Catalog","FALSE","FALSE","FALSE","FALSE",,,,,"FALSE","FALSE",
