ID,Project,Focus,ScriptName,TestDescription,login,password,devices,device_name,filter,search_text,sku,return_product_num,esrb_rating,on_hand_quantity,condition,availability,is_available,is_searchable,product_limit,excluded_skus,has_release_date,is_online_only_price,is_online_only,is_backorderable,backorder_limit,is_preorderable,preorder_limit,age_check_month,age_check_year,add_to_cart,cc_type,cc_number,exp_month,exp_year,cvv,svs_number,svs_pin,first_name,last_name,shipping_line1,shipping_line2,shipping_city,shipping_county,shipping_state,shipping_zip,shipping_country,shipping_phone,shipping_email,billing_line1,billing_line2,billing_city,billing_county,billing_state,billing_zip,billing_country,billing_phone,billing_email,Endpoints,SVC_ENV,Property,PROP_URL,SqlQuery,Databases,DB_ENV,browser,submit_order,billing_address_same_as_shipping,change_existing_address,add_product_qty,use_paypal_at_cart,use_paypal_at_payment,GC_TYPE,GC_AMNT,GC_QTY,GC_OTHER_AMNT
TFS96871,MGS,Product,%QAAUTOMATION_SCRIPTS%\GameStopRespMobile\spec\UI\mgs_product_details_spec.rb   --browser chrome,Product with Single Platform,,,devices.csv,Apple iPhone 4,,,904113,1,,,,,,,,,,,,,,,,,,FALSE,Visa,4111111111111110,12,2016,121,,,Accept,Tester,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,endpoints.csv,QA_V1,properties.csv,QA_M2,pdp_get_product_by_sku.sql,databases.csv,QA_Catalog,chrome,,,,,,,,,,
TFS96872,MGS,Product,%QAAUTOMATION_SCRIPTS%\GameStopRespMobile\spec\UI\mgs_product_details_spec.rb   --browser chrome,Product with Multiple Platform,,,devices.csv,Apple iPhone 5,,,831787,1,,,,,,,,,,,,,,,,,,FALSE,Visa,4111111111111110,12,2016,121,,,Accept,Tester,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,endpoints.csv,QA_V1,properties.csv,QA_M2,pdp_get_product_by_sku.sql,databases.csv,QA_Catalog,chrome,,,,,,,,,,
TFS96873,MGS,Product,%QAAUTOMATION_SCRIPTS%\GameStopRespMobile\spec\UI\mgs_product_details_spec.rb   --browser chrome,ProductZen With ReleaseDate (future only),,,devices.csv,Apple iPhone 6,,,,1,"EC,E,E10+,T,M,RP",-100,New,PR,1,1,NULL,"85996,85998,85997",TRUE,,,,,,,,,FALSE,Visa,4111111111111110,12,2016,121,,,Accept,Tester,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,endpoints.csv,QA_V1,properties.csv,QA_M2,pdp_get_product.sql,databases.csv,QA_Catalog,chrome,,,,,,,,,,
TFS96874,MGS,Product,%QAAUTOMATION_SCRIPTS%\GameStopRespMobile\spec\UI\mgs_product_details_spec.rb   --browser chrome,ProductZen Without ReleaseDate,,,devices.csv,Samsung Galaxy Note,,,,1,"EC,E,E10+,T,M,RP",1,New,A,1,1,NULL,"85996,85998,85997",FALSE,,,,,,,,,FALSE,Visa,4111111111111110,12,2016,121,,,Accept,Tester,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,endpoints.csv,QA_V1,properties.csv,QA_M2,pdp_get_product.sql,databases.csv,QA_Catalog,chrome,,,,,,,,,,
TFS96875,MGS,Product,%QAAUTOMATION_SCRIPTS%\GameStopRespMobile\spec\UI\mgs_product_details_spec.rb   --browser chrome,ProductZen With Rating and Review,,,devices.csv,Samsung Galaxy Note 3,,,102436,1,,,,,,,,,,,,,,,,,,FALSE,Visa,4111111111111110,12,2016,121,,,Accept,Tester,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,endpoints.csv,QA_V1,properties.csv,QA_M2,pdp_get_product_by_sku.sql,databases.csv,QA_Catalog,chrome,,,,,,,,,,
TFS96876,MGS,Product,%QAAUTOMATION_SCRIPTS%\GameStopRespMobile\spec\UI\mgs_product_details_spec.rb   --browser chrome,Recommendations Tablet,,,devices.csv,Apple iPad 3 / 4,,,102436,1,,,,,,,,,,,,,,,,,,FALSE,Visa,4111111111111110,12,2016,121,,,Accept,Tester,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,endpoints.csv,QA_V1,properties.csv,QA_M2,pdp_get_product_by_sku.sql,databases.csv,QA_Catalog,chrome,,,,,,,,,,
TFS96877,MGS,Product,%QAAUTOMATION_SCRIPTS%\GameStopRespMobile\spec\UI\mgs_product_details_spec.rb   --browser chrome,Detail Image Videos,,,devices.csv,Apple iPhone 4,,,20057,1,,,,,,,,,,,,,,,,,,FALSE,Visa,4111111111111110,12,2016,121,,,Accept,Tester,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,endpoints.csv,QA_V1,properties.csv,QA_M2,pdp_get_product_by_sku.sql,databases.csv,QA_Catalog,chrome,,,,,,,,,,
TFS96878,MGS,Product,%QAAUTOMATION_SCRIPTS%\GameStopRespMobile\spec\UI\mgs_product_details_spec.rb   --browser chrome,ESRB ec,,,devices.csv,Apple iPhone 5,,,,1,EC,1,"New,Used","A,PR",1,1,NULL,"85996,85998,85997",,,,,,,,,,FALSE,Visa,4111111111111110,12,2016,121,,,Accept,Tester,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,endpoints.csv,QA_V1,properties.csv,QA_M2,pdp_get_product.sql,databases.csv,QA_Catalog,chrome,,,,,,,,,,
TFS96879,MGS,Product,%QAAUTOMATION_SCRIPTS%\GameStopRespMobile\spec\UI\mgs_product_details_spec.rb   --browser chrome,ESRB e,,,devices.csv,Apple iPhone 6,,,,1,E,1,"New,Used","A,PR",1,1,NULL,"85996,85998,85997",,,,,,,,,,FALSE,Visa,4111111111111110,12,2016,121,,,Accept,Tester,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,endpoints.csv,QA_V1,properties.csv,QA_M2,pdp_get_product.sql,databases.csv,QA_Catalog,chrome,,,,,,,,,,
TFS96880,MGS,Product,%QAAUTOMATION_SCRIPTS%\GameStopRespMobile\spec\UI\mgs_product_details_spec.rb   --browser chrome,ESRB e10,,,devices.csv,Samsung Galaxy Note,,,,1,E10+,1,"New,Used","A,PR",1,1,NULL,"85996,85998,85997",,,,,,,,,,FALSE,Visa,4111111111111110,12,2016,121,,,Accept,Tester,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,625 Westport Pkwy,,Grapevine,,Texas,76051,United States of America,8174242000,robertsantos@gamestop.com,endpoints.csv,QA_V1,properties.csv,QA_M2,pdp_get_product.sql,databases.csv,QA_Catalog,chrome,,,,,,,,,,
