"ID","Project","FunctionalArea","Role","Focus","ScriptName","TestDescription","env","domain","login","password","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL","browser"
"WatchDogGSUI","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop","qa_ui_testing1@4test.com","T3sting",,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome"
"WatchDogCartUI","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogGSMobileUI","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogPUR","WatchDog","PowerUpRewards",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome"
"WatchDogPURMobileUI","WatchDog","PowerUpRewards",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogCart","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome"
"WatchDogCatalog","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogAccount","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogProfile","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogDigitalWallet","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogShipping","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogVelocity","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogPurchaseOrder","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogTax","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogPayment","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogStoreSearch","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,,,,,,,"chrome"
"WatchDogES","WatchDog","GameStop",,"Sanity","%QAAUTOMATION_SCRIPTS%\Monitoring\spec\monitor_gamestop_spec.rb",,"qa","gamestop",,,,"databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","chrome"
