"ID","Project","FunctionalArea","Role","Focus","ScriptName","TestDescription","login","password","first_name","last_name","is_default_addr","addr_line1","addr_line2","city","state","postal_code","country","country_code","locale","phone_number","store_number","pur_tier","generate_user_name","email","email_domain","email_prefix","add_digital_wallet","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL"
"TFS68458","Profile","Create Account","AU","Create","%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC 68458: CP - Create Account - From Activate - PUR' --or","CP - Create Account - From Activate - PUR",,"Test12345","Accept","Automation","true","625 Westport Pkwy",,"Grapevine","TX",76051,"US","US","en-US",8177227093,2356,3876,"TRUE","NULL","@qagsecomprod.oib.com","gsui_","TRUE",,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_PUR"
"TFS68459","Profile","Login","AU","Login","%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC 68459: CP - Create Account - From Login - PUR' --or","CP - Create Account - From Login - PUR",,"Test12345",,,,,,,,,,,,,,,,,"@gspcauto.fav.cc","pur_",,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_PUR"
"TFS65436","Profile","Login","AU","Login","%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC 65436: CP - Login via PUR site goes to PUR landing page' --or","CP - Login via PUR site goes to PUR landing page","ottomatinactivated@gspcauto.fav.cc","Test12345",,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_PUR"
"TFS48937","Profile","Personal Info","AU","Personal","%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC 48937: CP - Personal Info - Password - Change Password functionality - PUR user' --or","CP - Personal Info - Password - Change Password functionality - PUR user",,"Test12345",,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_PUR"
"TFS69362","Profile","Activation","AU",,"%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC69362: CP - PUR Activation - Existing Profile - Optional Fields - Over 13 Yrs Old' --or","CP - PUR Activation - Existing Profile - Optional Fields - Over 13 Yrs Old",,"Test12345","Otto","Matin","TRUE","625 Westport Pkwy",,"Grapevine","TX",76051,"US","US","en-US",1112223333,2356,3875,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_PUR"
"TFS69360","Profile","Activation","AU",,"%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC69360: CP - PUR Activation - New Profile - Required Fields - Over 13 Yrs Old' --or","CP - PUR Activation - New Profile - Required Fields - Over 13 Yrs Old",,"Test12345","Otto","Matin","TRUE","625 Westport Pkwy",,"Grapevine","TX",76051,"US","US","en-US",1112223333,2356,3875,"TRUE","NULL","@gspcauto.fav.cc","pur_",,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_PUR"
"TFS68481","Profile","Activation","AU",,"%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC68481: CP - PUR Activation - Birthday - Under 13yrs old user' --or","CP - PUR Activation - Birthday - Under 13yrs old user",,"Test12345","Otto","Matin","TRUE","625 Westport Pkwy",,"Grapevine","TX",76051,"US","US","en-US",1112223333,2356,3876,"TRUE","NULL","@gspcauto.fav.cc","pur_",,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_PUR"
"TFS68474","Profile","Personal Info","AU",,"%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC 68474: CP - Personal Info - Update Personal Info for Existing User' --or","CP - Personal Info - Update Personal Info for Existing User","ottomatinactivated@gspcauto.fav.cc","Test12345",,,,,,,,,,,,,,,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_PUR"
"TFS64716","Profile","Comm Pref","AU",,"%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC64716: CP - Communication Pref - Preferences from Activation Persists' --or","CP - Communication Pref - Preferences from Activation Persists",,"Test12345","Otto","Matin","TRUE","625 Westport Pkwy",,"Grapevine","TX",76051,"US","US","en-US",1112223333,2356,3876,,,,,,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_PUR"
"TFS68444","Profile","Comm Pref","AU",,"%QAAUTOMATION_SCRIPTS%\PowerUpRewards\spec\pur_regression_spec.rb --browser chrome -e 'TC68444: CP - Communication Pref - Mail Pref - Add a New Address' --or","CP - Communication Pref - Mail Pref - Add a New Address",,"Test12345","Otto","Matin","TRUE","625 Westport Pkwy",,"Grapevine","TX",76051,"US","US","en-US",1112223333,2356,3875,"TRUE","NULL","@gspcauto.fav.cc","pur_",,,"databases.csv","QA_ConsolidatedProfile","endpoints.csv","QA_V1","properties.csv","QA_PUR"
