"ID","TestDescription","ClientChannel","Locale","Currency","Brand","ShipEmail","ShipPhone","ShipCity","ShipCountryCode","ShipLine1","ShipLine2","ShipPostalCode","ShipState","ShipFirstName","ShipLastName","BillEmail","LoyaltyCardNumber","LoyaltyCardId","BillPhone","BillCity","BillCountryCode","BillLine1","BillLine2","BillPostalCode","BillState","BillFirstName","BillLastName","PromoCode","ShipmentType","Checkout","QtyIncrease","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV"
"TFS46297","Should checkout a pre-owned game as a pro PUR member with lileitem discount","WIS","en-US","USD","GS","gstester@r3nrut.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","David","Turner","gstester@r3nrut.com",3876713831642,,8177226078,"Irving","US","5615 High Point Dr",,75038,"TX","David","Turner","WISFreeShipping","ShipToAddress","true",1,"WIS_available_PreOwned.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS46299","Should checkout a pre-owned game as a free PUR member with no lineitem discount","WIS","en-US","USD","GS","gstester@r3nrut.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","David","Turner","gstester@r3nrut.com",3875568091831,,8177226078,"Irving","US","5615 High Point Dr",,75038,"TX","David","Turner","WISFreeShipping","ShipToAddress","true",0,"WIS_available_PreOwned.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS46301","Should checkout as an expired PUR member with no lineitem discount","WIS","en-US","USD","GS","gstester@r3nrut.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","David","Turner","gstester@r3nrut.com",3875568091831,,8177226078,"Irving","US","5615 High Point Dr",,75038,"TX","David","Turner","WISFreeShipping","ShipToAddress","true",0,"WIS_available_PreOwned.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS46302","Should checkout with no free shipping discount","WIS","en-US","USD","GS","gstester@r3nrut.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","David","Turner","gstester@r3nrut.com",,,8177226078,"Irving","US","5615 High Point Dr",,75038,"TX","David","Turner","nil","ShipToAddress","true",0,"WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"TFS46300","Should checkout with free value shipping discount","WIS","en-US","USD","GS","gstester@r3nrut.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","David","Turner","gstester@r3nrut.com",,,8177226078,"Irving","US","5615 High Point Dr",,75038,"TX","David","Turner","WISFreeShipping","ShipToAddress","true",0,"WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1"
"PROD01","Should checkout a pre-owned game as a pro PUR member with lileitem discount","WIS","en-US","USD","GS","davidturner@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","David","Turner","davidturner@gamestop.com",3876234510014,,8177226078,"Irving","US","5615 High Point Dr",,75038,"TX","David","Turner","WISFreeShipping","ShipToAddress","true",1,"WIS_available_PreOwned.sql","databases.csv","PROD_Catalog","endpoints.csv","PROD_V1"
"PROD02","Should checkout a pre-owned game as a free PUR member with no lineitem discount","WIS","en-US","USD","GS","davidturner@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","David","Turner","davidturner@gamestop.com",3875345620001,,8177226078,"Irving","US","5615 High Point Dr",,75038,"TX","David","Turner","WISFreeShipping","ShipToAddress","true",0,"WIS_available_PreOwned.sql","databases.csv","PROD_Catalog","endpoints.csv","PROD_V1"
"PROD03","Should checkout as an expired PUR member with no lineitem discount","WIS","en-US","USD","GS","davidturner@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","David","Turner","davidturner@gamestop.com",3876234510006,,8177226078,"Irving","US","5615 High Point Dr",,75038,"TX","David","Turner","WISFreeShipping","ShipToAddress","true",0,"WIS_available_PreOwned.sql","databases.csv","PROD_Catalog","endpoints.csv","PROD_V1"
"PROD04","Should checkout with no free shipping discount","WIS","en-US","USD","GS","davidturner@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","David","Turner","davidturner@gamestop.com",,,8177226078,"Irving","US","5615 High Point Dr",,75038,"TX","David","Turner",,"ShipToAddress","true",0,"WIS_available_products.sql","databases.csv","PROD_Catalog","endpoints.csv","PROD_V1"
"PROD05","Should checkout with free value shipping discount","WIS","en-US","USD","GS","davidturner@gamestop.com",8177227093,"Grapevine","US","625 Westport Pkwy",,76051,"TX","David","Turner","davidturner@gamestop.com",,,8177226078,"Irving","US","5615 High Point Dr",,75038,"TX","David","Turner","WISFreeShipping","ShipToAddress","true",0,"WIS_available_products.sql","databases.csv","PROD_Catalog","endpoints.csv","PROD_V1"
