"ID","Project","ScriptName","TestDescription","client_channel","free_pur_member","promo_code","shipping_option","ship_first_name","ship_last_name","ship_addr1","ship_addr2","ship_city","ship_state","ship_zip","ship_country","ship_email","ship_phone","submit_order_flag","power_up_rewards_number","promo_code_number","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL","category_drop_down_value","category_drop_down_test","dollar_amount_off","percent_off","search_value","order_number","order_look_up_track_order_status","order_look_up_search_pur_no","order_look_up_search_order_no","ups_shipped","ups_delivered","shipping_search_lname_zip","shipping_search_email","shipping_search_pur_no","product_details_full_details","product_details_out_of_stocks","product_details_mature_product","sku","is_new","disable_state"
"TFS40142","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_pro_pur_pre_owned_spec.rb --browser ie","Orders Billing address billing Address defaults to store","WIS","FALSE",,"Standard","Generic_Ship","Tester","Monsieur Jean DUPONT ","218 rue de la Tombe-Issoire ","Paris",,75014,"France","eileensiriban@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"No Customer Information",,,,,,,,,,,,,,"FALSE","FALSE"
"TFS42864","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_international_address_spec.rb --browser ie","Checkout Shipping Unblock international","WIS",,,"Standard","Generic_Ship","Tester","49 Featherstone Street ",,"London",,"EC1Y 8SY ","United Kingdom","eileensiriban@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","Get_Products_WithOutShipRestrictions.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"International (Zone 1) - $14.99 - Allow transit time & 2 business days for processing.",,,,,,,,,,,,,170509,"TRUE","TRUE"
"TFS42865","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_checkout_international_address_spec.rb --browser ie","Remove Bill and Ship Country","WIS",,,"Standard","Generic_Ship","Tester","Monsieur Jean DUPONT ","218 rue de la Tombe Issoire ","Paris",,75014,"France","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,"International (Zone 3) - $24.99 - Allow transit time & 2 business days for processing.",,,,,,,,,,,,,,"TRUE","TRUE"
"TFS47235","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_validate_cart_spec.rb --browser ie","Cart Add to Cart Add to Cart functionality","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","eileensiriban@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,,,,,,,"918187,831361","TRUE","FALSE"
"TFS47244","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_orders_order_lookup_spec.rb --browser ie","Order Lookup track Order Status","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","asp@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,9130927094680290,"TRUE","FALSE","FALSE","FALSE","FALSE",,,,,,,,,
"TFS47246","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_orders_order_lookup_spec.rb --browser ie","Order Lookup Search using Order Number","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","asp@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,9130927094680290,"FALSE","FALSE","TRUE","FALSE","FALSE",,,,,,,,,
"TFS47247","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_orders_order_lookup_spec.rb --browser ie","Order Lookup Search using PUR Number","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","asp@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,9130927094680290,"FALSE","TRUE","FALSE","FALSE","FALSE",,,,,,,,,
"TFS47249","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_validate_orders_spec.rb --browser ie","Shipping Search Last Name and ZipCode","WIS",,,"Standard","Generic_Ship","GS","123 Homestead","John Carpenter","Warren","West Virginia",44485,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,"TRUE","FALSE","FALSE",,,,,"FALSE","FALSE"
"TFS47250","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_validate_orders_spec.rb --browser ie","Shipping Search Email","WIS",,,"Standard","Generic_Ship","GS","123 Homestead","John Carpenter","Warren","West Virginia",44485,"United States of America","eileensiriban@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,"FALSE","TRUE","FALSE",,,,,"FALSE","FALSE"
"TFS47251","WIS","%QAAUTOMATION_SCRIPTS%\WebInStore\Spec\UI\wis_validate_orders_spec.rb --browser ie","Shipping Search PUR No","WIS",,,"Standard","Generic_Ship","Tester","1234 Heathrow Drive","John Carpenter","Irving","Texas",75063,"United States of America","auto_generic_qa@gamestop.com",9728916038,"TRUE",3876307605154,"NULL","WIS_available_products.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS",,,,,,,,,,,,"FALSE","FALSE","TRUE",,,,,"FALSE","FALSE"
